lat,lng,nombre,propietario,zona,tipo_cobertura
-31.4170,-64.1895,Cámara Banco Macro,Banco Macro,Centro,Frente y lateral
-31.4145,-64.1878,Cámara Shopping Córdoba,Shopping Córdoba,Centro Comercial,Circulante y parqueo
-31.4210,-64.1920,Cámara Banco Santander,Banco Santander,Centro Financiero,Frente y cajas
-31.4088,-64.1810,Cámara Comercio La Onda,Comercio La Onda,Centro,Interior y frente
-31.4230,-64.1765,Cámara Hotel Gran Prix,Hotel Gran Prix,Zona Hotelera,Recepción y pasillos
-31.4125,-64.1945,Cámara Supermercado Jumbo,Supermercado Jumbo,Zona Comercial,Pasillo de compras
-31.4180,-64.1860,Cámara Farmacia del Dr. Simi,Farmacia del Dr. Simi,Centro,Mostrador y entrada
-31.4100,-64.1995,Cámara Estación de Servicio YPF,YPF,Zona Industrial,Surtidores
-31.4270,-64.1840,Cámara Biblioteca Provincial,Biblioteca Provincial,Nueva Córdoba,Entrada y salón
-31.4200,-64.1740,Cámara Museo de Bellas Artes,Museo de Bellas Artes,Nueva Córdoba,Galerías
-31.4050,-64.1860,Cámara Escuela Técnica 6,Escuela Técnica 6,Güemes,Entrada y patio
-31.4290,-64.1920,Cámara Centro Estético Belleza,Centro Estético Belleza,San Alejo,Recepción
-31.4160,-64.1950,Cámara Clínica Privada Integral,Clínica Privada Integral,Alta Córdoba,Quirófano y recepción
-31.4108,-64.1815,Cámara Oficina Contable López,Oficina Contable López,Centro,Oficina
-31.4245,-64.1895,Cámara Gobierno Provincial Anexo,Gobierno Provincial Anexo,Centro Cívico,Entrada
-31.4175,-64.1755,Cámara Casa de Cultura,Casa de Cultura,Nueva Córdoba,Aula y entrada
-31.4085,-64.1925,Cámara Gimnasio Sport Club,Gimnasio Sport Club,Alberdi,Recepción y salas
-31.4225,-64.1805,Cámara Restaurante El Cordobés,Restaurante El Cordobés,Nueva Córdoba,Comedor
-31.4135,-64.1875,Cámara Joyería Prestigio,Joyería Prestigio,Centro,Vitrina y entrada
-31.4195,-64.1935,Cámara Farmacia Central Plus,Farmacia Central Plus,Alta Córdoba,Mostrador
